Date,price,open,high,low,Vol,Change_perc
Nov 13,1465.15,1459.15,1467.15,1458.05,-,0.79%
Nov 12,1453.70,1455.90,1461.30,1446.20,415.99K,-0.23%
Nov 11,1457.10,1460.00,1467.40,1448.90,310.16K,-0.40%
Nov 08,1462.90,1469.00,1473.90,1457.00,447.07K,-0.24%
Nov 07,1466.40,1492.10,1493.60,1461.40,674.98K,-1.79%
Nov 06,1493.10,1484.30,1495.90,1483.80,313.72K,0.63%
Nov 05,1483.70,1511.60,1511.90,1480.70,593.62K,-1.81%
Nov 04,1511.10,1516.40,1517.10,1506.50,260.20K,-0.02%
Nov 01,1511.40,1515.10,1519.00,1505.40,380.99K,-0.22%
Oct 31,1514.80,1498.80,1516.70,1496.00,390.01K,1.21%
Oct 30,1496.70,1490.50,1499.30,1483.10,353.64K,0.40%
Oct 29,1490.70,1494.30,1497.10,1485.60,291.98K,-0.34%
Oct 28,1495.80,1507.40,1510.80,1492.30,318.13K,-0.63%
Oct 25,1505.30,1506.40,1520.90,1503.10,368.74K,0.04%
Oct 24,1504.70,1495.10,1506.90,1490.40,305.01K,0.60%
Oct 23,1495.70,1491.10,1499.40,1490.70,244.62K,0.55%
Oct 22,1487.50,1487.50,1492.10,1484.00,208.97K,-0.04%
Oct 21,1488.10,1495.60,1498.70,1484.80,284.29K,-0.40%
Oct 18,1494.10,1495.60,1497.90,1488.30,232.55K,-0.28%
Oct 17,1498.30,1494.20,1501.10,1487.00,305.67K,0.29%
Oct 16,1494.00,1484.80,1495.50,1480.60,367.90K,0.71%
Oct 15,1483.50,1497.70,1503.00,1480.80,317.99K,-0.94%
Oct 14,1497.60,1492.00,1501.50,1487.10,228.32K,0.60%
Oct 11,1488.70,1498.30,1508.00,1478.00,485.96K,-0.81%
Oct 10,1500.90,1510.80,1522.30,1495.70,417.88K,-0.79%
Oct 09,1512.80,1510.90,1518.00,1505.10,285.28K,0.59%
Oct 08,1503.90,1498.70,1515.30,1492.10,371.44K,-0.03%
Oct 07,1504.40,1518.60,1518.80,1493.30,257.78K,-0.56%
Oct 04,1512.90,1511.60,1522.20,1501.40,344.79K,-0.06%
Oct 03,1513.80,1505.60,1525.80,1501.70,408.74K,0.39%
Oct 02,1507.90,1485.40,1511.40,1480.50,393.10K,1.27%
Oct 01,1489.00,1478.00,1493.50,1465.00,450.17K,1.09%
Sep 30,1472.90,1501.70,1507.20,1470.50,439.71K,-2.22%
Sep 27,1506.40,1511.80,1519.50,1493.30,451.93K,-0.58%
Sep 26,1515.20,1510.90,1542.80,1507.10,378.29K,0.19%
Sep 25,1512.30,1539.80,1543.30,1507.40,481.46K,-1.81%
Sep 24,1540.20,1529.80,1543.30,1517.90,424.86K,0.57%
Sep 23,1531.50,1521.50,1534.40,1505.30,359.88K,1.08%
Sep 20,1515.10,1506.80,1524.50,1505.30,284.39K,0.59%
Sep 19,1506.20,1502.00,1512.10,1496.30,291.30K,-0.63%
Sep 18,1515.80,1509.70,1519.50,1490.70,364.96K,0.16%
Sep 17,1513.40,1506.50,1515.00,1500.90,336.63K,0.13%
Sep 16,1511.50,1513.10,1519.70,1503.40,349.61K,0.80%
Sep 13,1499.50,1506.50,1516.60,1493.10,364.42K,-0.52%
Sep 12,1507.40,1504.90,1532.20,1496.80,491.47K,0.28%
Sep 11,1503.20,1493.90,1506.20,1492.90,308.79K,0.27%
Sep 10,1499.20,1507.00,1509.10,1492.10,397.92K,-0.79%
Sep 09,1511.10,1516.40,1523.80,1505.50,317.52K,-0.29%
Sep 06,1515.50,1525.60,1536.20,1510.70,544.87K,-0.66%
Sep 05,1525.50,1561.40,1561.90,1514.30,606.40K,-2.24%
Sep 04,1560.40,1556.00,1566.20,1542.60,412.35K,0.29%
Sep 03,1555.90,1535.20,1558.90,1528.00,554.83K,1.35%
Sep 02,1535.15,1537.95,1540.05,1528.15,-,-0.19%
Sep 01,1538.05,1535.25,1542.90,1535.25,-,0.57%
Aug 30,1529.40,1536.90,1541.90,1525.60,330.85K,-0.49%
Aug 29,1536.90,1549.40,1559.80,1528.60,455.60K,-0.79%
Aug 28,1549.10,1551.80,1556.60,1541.40,353.91K,-0.17%
Aug 27,1551.80,1537.30,1554.50,1535.30,347.05K,0.95%
Aug 26,1537.20,1545.40,1565.00,1534.80,411.67K,-0.03%
Aug 23,1537.60,1508.80,1540.30,1503.00,473.00K,1.93%
Aug 22,1508.50,1512.40,1514.60,1502.10,279.41K,-0.48%
Aug 21,1515.70,1518.40,1518.40,1506.50,245.90K,0.00%
Aug 20,1515.70,1506.30,1518.80,1503.00,247.54K,0.27%
Aug 19,1511.60,1523.00,1523.60,1503.30,295.83K,-0.79%
Aug 16,1523.60,1533.90,1538.60,1513.90,322.46K,-0.50%
Aug 15,1531.20,1526.60,1537.70,1518.30,436.12K,0.22%
Aug 14,1527.80,1513.00,1534.90,1504.50,484.19K,0.90%
Aug 13,1514.10,1522.30,1546.10,1488.90,616.74K,-0.20%
Aug 12,1517.20,1509.20,1531.50,1498.60,355.10K,0.58%
Aug 09,1508.50,1515.90,1521.10,1506.20,332.61K,-0.07%
Aug 08,1509.50,1512.10,1521.30,1501.60,402.96K,-0.66%
Aug 07,1519.60,1486.70,1522.70,1484.30,651.55K,2.39%
Aug 06,1484.20,1481.10,1486.80,1468.20,381.92K,0.52%
Aug 05,1476.50,1451.20,1481.80,1448.80,534.19K,1.30%
Aug 02,1457.50,1457.50,1461.90,1442.50,493.05K,1.75%
Aug 01,1432.40,1425.60,1458.20,1412.10,587.56K,-0.38%
Jul 31,1437.80,1443.70,1447.80,1422.30,419.58K,-0.28%
Jul 30,1441.80,1439.50,1445.70,1434.80,259.62K,0.59%
Jul 29,1433.30,1431.90,1440.80,1427.50,174.17K,0.08%
Jul 26,1432.20,1427.40,1437.60,1425.60,118.10K,0.33%
Jul 25,1427.50,1439.30,1447.00,1423.90,115.82K,-0.63%
Jul 24,1436.50,1431.00,1442.90,1429.40,67.12K,0.14%
Jul 23,1434.50,1438.40,1444.00,1427.50,63.45K,-0.36%
Jul 22,1439.70,1441.70,1443.50,1435.70,31.81K,0.02%
Jul 19,1439.40,1460.40,1467.00,1434.00,44.94K,-0.10%
Jul 18,1440.80,1441.00,1462.30,1428.10,41.23K,0.34%
Jul 17,1435.90,1420.60,1440.80,1413.70,26.14K,0.86%
Jul 16,1423.60,1428.80,1432.40,1415.00,22.67K,-0.18%
Jul 15,1426.10,1429.00,1433.90,1421.90,13.16K,0.09%
Jul 12,1424.80,1418.40,1431.40,1417.20,31.10K,0.39%
Jul 11,1419.30,1433.40,1441.30,1415.50,47.27K,-0.39%
Jul 10,1424.90,1412.20,1433.30,1404.40,47.99K,0.86%
Jul 09,1412.80,1409.80,1414.10,1399.80,31.22K,0.04%
Jul 08,1412.20,1412.40,1421.50,1406.00,48.89K,0.01%
Jul 05,1412.10,1434.10,1437.50,1400.70,26.07K,-0.80%
Jul 04,1423.55,1421.25,1426.65,1412.85,-,-0.65%
Jul 03,1432.90,1435.50,1452.60,1426.60,17.76K,0.92%
Jul 02,1419.80,1399.50,1435.00,1398.80,33.95K,1.36%
Jul 01,1400.80,1418.00,1418.00,1396.40,14.99K,-1.71%
Jun 28,1425.10,1424.40,1439.10,1420.10,8.76K,0.12%
Jun 27,1423.40,1423.60,1426.00,1412.70,7.37K,-0.24%
Jun 26,1426.80,1438.00,1438.00,1416.40,7.75K,-0.23%
Jun 25,1430.10,1433.20,1453.70,1427.00,13.67K,0.04%
Jun 24,1429.50,1414.70,1435.90,1414.70,8.80K,1.30%
Jun 21,1411.20,1403.50,1425.50,1398.00,10.98K,0.21%
Jun 20,1408.30,1375.20,1408.90,1373.30,15.31K,3.54%
Jun 19,1360.10,1361.40,1377.60,1356.50,6.19K,-0.15%
Jun 18,1362.10,1354.70,1369.60,1353.70,5.91K,0.58%
Jun 17,1354.20,1357.10,1358.20,1348.20,4.80K,-0.13%
Jun 14,1355.90,1357.60,1373.60,1352.80,8.50K,0.06%
Jun 13,1355.10,1349.00,1358.00,1347.60,6.18K,0.51%
Jun 12,1348.20,1342.30,1353.60,1341.50,10.48K,0.41%
Jun 11,1342.70,1343.50,1344.70,1335.10,6.58K,0.15%
Jun 10,1340.70,1351.40,1353.00,1340.30,7.98K,-1.23%
Jun 07,1357.40,1351.40,1363.80,1345.80,6.87K,0.25%
Jun 06,1354.00,1348.00,1355.30,1343.50,2.92K,0.68%
Jun 05,1344.90,1341.00,1360.10,1341.00,6.83K,0.36%
Jun 04,1340.10,1340.90,1345.20,1336.10,3.87K,0.06%
Jun 03,1339.30,1323.10,1344.10,1322.70,5.51K,1.26%
May 31,1322.60,1304.40,1323.00,1304.20,7.20K,1.42%
May 30,1304.10,1296.20,1305.20,1290.80,2.12K,0.48%
May 29,1297.90,1295.90,1302.00,1295.90,7.41K,0.28%
May 28,1294.30,1301.80,1304.00,1292.90,9.02K,0.73%
May 27,1284.95,1284.25,1286.85,1283.25,-,0.06%
May 26,1284.15,1284.20,1285.15,1283.65,-,-1.30%
May 24,1301.00,1300.40,1302.00,1297.40,3.32K,-0.13%
May 23,1302.70,1290.20,1304.20,1289.90,6.98K,0.88%
May 22,1291.40,1291.20,1293.70,1289.20,11.47K,0.08%
May 21,1290.40,1293.70,1293.80,1286.30,4.54K,-0.32%
May 20,1294.60,1294.70,1295.80,1291.10,5.62K,0.12%
May 17,1293.00,1304.10,1305.90,1292.00,4.35K,-0.81%
May 16,1303.50,1314.50,1316.20,1301.90,5.25K,-0.88%
May 15,1315.10,1315.00,1318.70,1310.80,4.38K,0.11%
May 14,1313.60,1318.70,1321.70,1312.00,5.46K,-0.45%
May 13,1319.50,1306.00,1319.80,1300.30,6.73K,1.09%
May 10,1305.30,1303.20,1308.00,1302.00,3.12K,0.16%
May 09,1303.20,1300.50,1307.00,1298.60,5.94K,0.28%
May 08,1299.50,1303.50,1310.20,1298.40,2.88K,-0.31%
May 07,1303.60,1300.70,1305.30,1297.20,3.77K,0.14%
May 06,1301.80,1302.00,1305.00,1296.30,2.34K,0.20%
May 03,1299.20,1289.60,1301.70,1288.50,1.93K,0.72%
May 02,1289.90,1297.00,1297.20,1285.10,3.05K,-0.94%
May 01,1302.20,1302.30,1307.00,1292.90,2.49K,-0.11%
Apr 30,1303.60,1299.80,1305.90,1299.60,2.06K,0.32%
Apr 29,1299.40,1306.40,1306.40,1298.00,1.29K,-0.57%
Apr 26,1306.80,1298.00,1308.70,1296.90,2.05K,0.70%
Apr 25,1297.70,1294.20,1302.50,1293.50,1.42K,0.02%
Apr 24,1297.40,1290.30,1298.40,1289.10,1.30K,0.48%
Apr 23,1291.20,1295.20,1296.20,1286.00,2.09K,-0.36%
Apr 22,1295.80,1295.80,1299.50,1294.10,0.23K,1.40%
