Date,price,open,high,low,Vol,Change_perc
Nov 13,1465.15,1459.15,1467.15,1458.05,0,0.79
Nov 12,1453.7,1455.9,1461.3,1446.2,415.99,-0.23
Nov 11,1457.1,1460,1467.4,1448.9,310.16,-0.4
Nov 08,1462.9,1469,1473.9,1457,447.07,-0.24
Nov 07,1466.4,1492.1,1493.6,1461.4,674.98,-1.79
Nov 06,1493.1,1484.3,1495.9,1483.8,313.72,0.63
Nov 05,1483.7,1511.6,1511.9,1480.7,593.62,-1.81
Nov 04,1511.1,1516.4,1517.1,1506.5,260.2,-0.02
Nov 01,1511.4,1515.1,1519,1505.4,380.99,-0.22
Oct 31,1514.8,1498.8,1516.7,1496,390.01,1.21
Oct 30,1496.7,1490.5,1499.3,1483.1,353.64,0.4
Oct 29,1490.7,1494.3,1497.1,1485.6,291.98,-0.34
Oct 28,1495.8,1507.4,1510.8,1492.3,318.13,-0.63
Oct 25,1505.3,1506.4,1520.9,1503.1,368.74,0.04
Oct 24,1504.7,1495.1,1506.9,1490.4,305.01,0.6
Oct 23,1495.7,1491.1,1499.4,1490.7,244.62,0.55
Oct 22,1487.5,1487.5,1492.1,1484,208.97,-0.04
Oct 21,1488.1,1495.6,1498.7,1484.8,284.29,-0.4
Oct 18,1494.1,1495.6,1497.9,1488.3,232.55,-0.2
