price,open,high,low,Vol
1465.15,1459.15,1467.15,1458.05,-
1453.7,1455.9,1461.3,1446.2,415.99K
1457.1,1460,1467.4,1448.9,310.16K
1462.9,1469,1473.9,1457,447.07K
1466.4,1492.1,1493.6,1461.4,674.98K
1493.1,1484.3,1495.9,1483.8,313.72K
1483.7,1511.6,1511.9,1480.7,593.62K
1511.1,1516.4,1517.1,1506.5,260.20K
1511.4,1515.1,1519,1505.4,380.99K
1514.8,1498.8,1516.7,1496,390.01K
1496.7,1490.5,1499.3,1483.1,353.64K
1490.7,1494.3,1497.1,1485.6,291.98K
1495.8,1507.4,1510.8,1492.3,318.13K
1505.3,1506.4,1520.9,1503.1,368.74K
1504.7,1495.1,1506.9,1490.4,305.01K
1495.7,1491.1,1499.4,1490.7,244.62K
1487.5,1487.5,1492.1,1484,208.97K
1488.1,1495.6,1498.7,1484.8,284.29K
1494.1,1495.6,1497.9,1488.3,232.55K
1498.3,1494.2,1501.1,1487,305.67K
1494,1484.8,1495.5,1480.6,367.90K
1483.5,1497.7,1503,1480.8,317.99K
1497.6,1492,1501.5,1487.1,228.32K
1488.7,1498.3,1508,1478,485.96K
1500.9,1510.8,1522.3,1495.7,417.88K
1512.8,1510.9,1518,1505.1,285.28K
1503.9,1498.7,1515.3,1492.1,371.44K
1504.4,1518.6,1518.8,1493.3,257.78K
1512.9,1511.6,1522.2,1501.4,344.79K
1513.8,1505.6,1525.8,1501.7,408.74K
1507.9,1485.4,1511.4,1480.5,393.10K
1489,1478,1493.5,1465,450.17K
1472.9,1501.7,1507.2,1470.5,439.71K
1506.4,1511.8,1519.5,1493.3,451.93K
1515.2,1510.9,1542.8,1507.1,378.29K
1512.3,1539.8,1543.3,1507.4,481.46K
1540.2,1529.8,1543.3,1517.9,424.86K
1531.5,1521.5,1534.4,1505.3,359.88K
1515.1,1506.8,1524.5,1505.3,284.39K
1506.2,1502,1512.1,1496.3,291.30K
1515.8,1509.7,1519.5,1490.7,364.96K
1513.4,1506.5,1515,1500.9,336.63K
1511.5,1513.1,1519.7,1503.4,349.61K
1499.5,1506.5,1516.6,1493.1,364.42K
1507.4,1504.9,1532.2,1496.8,491.47K
