g_price,g_open,g_high,g_low,s_price,s_open,s_high,s_low
1465.15,1459.15,1467.15,1458.05,16.892,16.782,16.953,16.742
1453.7,1455.9,1461.3,1446.2,16.692,16.785,16.875,16.615
1457.1,1460,1467.4,1448.9,16.802,16.755,16.91,16.63
1462.9,1469,1473.9,1457,16.823,17.07,17.095,16.66
1466.4,1492.1,1493.6,1461.4,17.01,17.605,17.645,16.91
1493.1,1484.3,1495.9,1483.8,17.598,17.555,17.63,17.36
1483.7,1511.6,1511.9,1480.7,17.568,18.06,18.085,17.52
1511.1,1516.4,1517.1,1506.5,18.066,18.125,18.23,17.96
1511.4,1515.1,1519,1505.4,18.052,18.12,18.16,17.935
1514.8,1498.8,1516.7,1496,18.067,17.895,18.185,17.795
1496.7,1490.5,1499.3,1483.1,17.867,17.82,17.965,17.59
1490.7,1494.3,1497.1,1485.6,17.831,17.87,17.905,17.605
1495.8,1507.4,1510.8,1492.3,17.876,18.065,18.145,17.785
1505.3,1506.4,1520.9,1503.1,17.926,17.835,18.35,17.8
1504.7,1495.1,1506.9,1490.4,17.804,17.575,17.86,17.485
1495.7,1491.1,1499.4,1490.7,17.58,17.55,17.63,17.515
